criterion,max_depth,accuracy
gini,1,0.9285714285714286
gini,2,0.9285714285714286
gini,3,0.9380952380952381
gini,4,0.9428571428571428
gini,5,0.9428571428571428
gini,6,0.9380952380952381
gini,7,0.9380952380952381
gini,8,0.9380952380952381
gini,9,0.9428571428571428
gini,10,0.9380952380952381
entropy,1,0.9285714285714286
entropy,2,0.9142857142857143
entropy,3,0.9476190476190476
entropy,4,0.9476190476190476
entropy,5,0.9523809523809523
entropy,6,0.9333333333333333
entropy,7,0.9333333333333333
entropy,8,0.9380952380952381
entropy,9,0.9476190476190476
entropy,10,0.9428571428571428
log_loss,1,0.9285714285714286
log_loss,2,0.9142857142857143
log_loss,3,0.9476190476190476
log_loss,4,0.9476190476190476
log_loss,5,0.9428571428571428
log_loss,6,0.9380952380952381
log_loss,7,0.9476190476190476
log_loss,8,0.9428571428571428
log_loss,9,0.9428571428571428
log_loss,10,0.9523809523809523
